artifact_id,artist_id,relationship_type
4298,180,creator
4300,181,creator
4308,182,creator
4309,183,creator
4311,88,creator
4409,184,creator
4410,12,creator
4411,185,creator
4551,186,creator
4637,187,creator
4638,188,creator
4639,188,creator
4640,188,creator
4641,188,creator
4646,189,creator
4648,190,creator
4649,12,creator
4650,12,creator
4651,191,creator
4676,192,creator
4713,12,creator
4790,58,creator
4791,193,creator
5010,194,creator
5012,97,creator
5022,37,creator
5023,195,creator
5027,161,creator
5028,196,creator
5029,196,creator
5030,197,creator
5031,164,creator
5032,164,creator
5033,164,creator
5034,164,creator
5035,164,creator
5036,164,creator
5037,163,creator
5038,161,creator
5039,198,creator
5040,198,creator
5050,12,creator
5058,98,creator
5064,12,creator
5065,199,creator
5072,200,creator
5073,63,creator
5082,201,creator
5083,202,creator
5118,112,creator
5119,203,creator
5121,204,creator
5122,205,creator
5123,206,creator
5124,207,creator
5130,12,creator
5134,208,creator
5135,209,creator
5136,173,creator
5137,12,creator
5138,210,creator
5139,211,creator
5140,212,creator
5141,213,creator
5142,173,creator
5143,102,creator
5154,214,creator
5155,215,creator
5160,216,creator
5161,217,creator
5164,218,creator
5165,219,creator
5169,220,creator
5170,217,creator
5171,221,creator
5173,222,creator
5225,223,creator
5235,224,creator
5237,225,creator
5238,226,creator
5239,217,creator
5240,226,creator
5242,217,creator
5243,227,creator
5244,228,creator
5245,226,creator
5247,226,creator
5248,229,creator
5251,217,creator
5252,217,creator
5253,217,creator
5254,217,creator
5256,225,creator
5262,230,creator
5263,231,creator
5264,232,creator
5268,233,creator
5269,234,creator
5270,235,creator
5294,236,creator
5296,226,creator
5297,237,creator
5298,238,creator
5299,238,creator
5300,238,creator
5301,238,creator
5302,239,creator
5303,238,creator
5304,238,creator
5305,238,creator
5306,240,creator
5307,241,creator
5308,242,creator
5309,243,creator
5312,244,creator
5313,245,creator
5314,246,creator
5315,247,creator
5316,248,creator
5317,249,creator
5318,250,creator
5319,251,creator
5320,252,creator
5322,253,creator
5323,248,creator
5324,248,creator
5325,248,creator
5326,248,creator
5327,250,creator
5328,250,creator
5329,250,creator
5330,250,creator
5331,250,creator
5332,250,creator
5333,250,creator
5334,250,creator
5335,248,creator
5336,248,creator
5337,248,creator
5338,248,creator
5339,248,creator
5340,248,creator
5341,247,creator
5342,248,creator
5343,248,creator
5344,248,creator
5345,248,creator
5346,248,creator
5352,254,creator
5353,255,creator
5354,255,creator
5355,255,creator
5356,256,creator
5358,257,creator
5359,258,creator
5360,259,creator
5361,258,creator
5362,258,creator
5363,258,creator
5364,258,creator
5365,258,creator
5366,258,creator
5367,258,creator
5368,258,creator
5369,258,creator
5370,258,creator
5371,260,creator
5372,261,creator
5373,261,creator
5374,261,creator
5375,262,creator
5376,261,creator
5377,261,creator
5378,261,creator
5379,261,creator
5380,261,creator
5381,263,creator
5382,264,creator
5383,265,creator
5384,266,creator
5385,267,creator
5386,268,creator
5387,269,creator
5388,261,creator
5389,270,creator
5390,271,creator
5391,272,creator
5392,272,creator
5393,273,creator
5394,274,creator
5395,275,creator
5396,276,creator
5397,277,creator
5398,278,creator
5399,279,creator
5400,279,creator
5401,280,creator
5402,281,creator
5403,281,creator
5404,282,creator
5405,283,creator
5406,284,creator
5407,285,creator
5408,286,creator
5409,286,creator
5410,287,creator
5411,288,creator
5412,289,creator
5413,290,creator
5414,291,creator
5415,292,creator
5416,292,creator
5417,293,creator
5418,293,creator
5419,293,creator
5420,293,creator
5421,260,creator
5422,294,creator
5423,295,creator
5424,296,creator
5425,297,creator
5426,278,creator
5427,278,creator
5428,278,creator
5429,278,creator
5430,278,creator
5431,278,creator
5432,278,creator
5433,278,creator
5434,278,creator
5435,278,creator
5436,278,creator
5437,278,creator
5438,278,creator
5439,278,creator
5440,278,creator
5441,278,creator
5442,278,creator
5443,279,creator
5444,298,creator
5445,299,creator
5446,299,creator
5447,299,creator
5448,271,creator
5449,271,creator
5450,271,creator
5451,271,creator
5452,300,creator
5453,301,creator
5454,302,creator
5455,302,creator
5456,302,creator
5457,302,creator
5458,302,creator
5459,302,creator
5460,302,creator
5461,302,creator
5462,302,creator
5463,302,creator
5464,302,creator
5465,302,creator
5466,302,creator
5467,302,creator
5468,302,creator
5469,302,creator
5470,272,creator
5471,272,creator
5472,272,creator
5473,272,creator
5474,272,creator
5475,272,creator
5476,272,creator
5477,272,creator
5478,272,creator
5479,272,creator
5480,272,creator
5481,272,creator
5482,272,creator
5483,271,creator
5484,303,creator
5485,271,creator
5486,304,creator
5487,271,creator
5488,271,creator
5489,271,creator
5490,271,creator
5491,271,creator
5492,289,creator
5493,289,creator
5494,289,creator
5495,305,creator
5496,306,creator
5497,305,creator
5498,305,creator
5499,307,creator
5500,308,creator
5501,309,creator
5502,310,creator
5503,311,creator
5504,309,creator
5505,312,creator
5506,312,creator
5507,312,creator
5508,312,creator
5509,312,creator
5510,312,creator
5511,312,creator
5512,312,creator
5513,312,creator
5514,271,creator
5515,274,creator
5516,312,creator
5517,313,creator
5518,312,creator
5519,314,creator
5520,314,creator
5521,314,creator
5522,314,creator
5523,315,creator
5524,314,creator
5525,316,creator
5526,317,creator
