id,artifact_id,image_url,image_path,is_primary,sort_order
67,2567,https://images.metmuseum.org/CRDImages/aa/original/1266.jpg,,1,1
68,2568,https://images.metmuseum.org/CRDImages/aa/original/1267.jpg,,1,1
69,2569,https://images.metmuseum.org/CRDImages/aa/original/1268.jpg,,1,1
70,2570,https://images.metmuseum.org/CRDImages/aa/original/1270.jpg,,1,1
71,2571,https://images.metmuseum.org/CRDImages/aa/original/DT11936.jpg,,1,1
72,2572,https://images.metmuseum.org/CRDImages/aa/original/DP124346.jpg,,1,1
73,2573,https://images.metmuseum.org/CRDImages/aa/original/81.1.415_002jan2014.jpg,,1,1
74,2574,https://images.metmuseum.org/CRDImages/aa/original/DP113399.jpg,,1,1
75,2575,https://images.metmuseum.org/CRDImages/aa/original/DP113390.jpg,,1,1
76,2576,https://images.metmuseum.org/CRDImages/aa/original/DP119010.jpg,,1,1
77,2577,https://images.metmuseum.org/CRDImages/aa/original/DP113392.jpg,,1,1
78,2578,https://images.metmuseum.org/CRDImages/aa/original/DP113394.jpg,,1,1
79,2579,https://images.metmuseum.org/CRDImages/aa/original/LC-12_37_145-004.jpg,,1,1
80,2580,https://images.metmuseum.org/CRDImages/aa/original/91.1.770_001jan2014.jpg,,1,1
81,2581,https://images.metmuseum.org/CRDImages/aa/original/91.1.810_001jan2014.jpg,,1,1
82,2582,https://images.metmuseum.org/CRDImages/aa/original/DP113367.jpg,,1,1
83,2583,https://images.metmuseum.org/CRDImages/aa/original/DP124336.jpg,,1,1
84,2584,https://images.metmuseum.org/CRDImages/aa/original/DP113365.jpg,,1,1
85,2585,https://images.metmuseum.org/CRDImages/aa/original/DP113370.jpg,,1,1
86,2586,https://images.metmuseum.org/CRDImages/aa/original/DP113373.jpg,,1,1
87,2587,https://images.metmuseum.org/CRDImages/aa/original/DP113375.jpg,,1,1
88,2588,https://images.metmuseum.org/CRDImages/aa/original/DP113379.jpg,,1,1
89,2589,https://images.metmuseum.org/CRDImages/aa/original/DP113384.jpg,,1,1
90,2590,https://images.metmuseum.org/CRDImages/aa/original/DP113322.jpg,,1,1
91,2591,https://images.metmuseum.org/CRDImages/aa/original/2000.262a_002july2014.jpg,,1,1
92,2592,https://images.metmuseum.org/CRDImages/aa/original/DP113326.jpg,,1,1
93,2593,https://images.metmuseum.org/CRDImages/aa/original/2000.88.1Front.jpg,,1,1
94,2594,https://images.metmuseum.org/CRDImages/aa/original/DP124319.jpg,,1,1
95,2595,https://images.metmuseum.org/CRDImages/aa/original/DP113294.jpg,,1,1
96,2596,https://images.metmuseum.org/CRDImages/aa/original/DP113309.jpg,,1,1
97,2597,https://images.metmuseum.org/CRDImages/aa/original/DP113311.jpg,,1,1
98,2598,https://images.metmuseum.org/CRDImages/aa/original/1999.260_001august2014.jpg,,1,1
99,2599,https://images.metmuseum.org/CRDImages/aa/original/DP113274.jpg,,1,1
100,2600,https://images.metmuseum.org/CRDImages/aa/original/DP113276.jpg,,1,1
101,2601,https://images.metmuseum.org/CRDImages/aa/original/sfeah36-25-1885ATS1.JPG,,1,1
102,2602,https://images.metmuseum.org/CRDImages/aa/original/DP368665.jpg,,1,1
103,2603,https://images.metmuseum.org/CRDImages/aa/original/DP124368.jpg,,1,1
104,2604,https://images.metmuseum.org/CRDImages/aa/original/271771.jpg,,1,1
105,2605,https://images.metmuseum.org/CRDImages/aa/original/DP286125.jpg,,1,1
106,2606,https://images.metmuseum.org/CRDImages/aa/original/60.107ab_005july2014.jpg,,1,1
107,2607,https://images.metmuseum.org/CRDImages/aa/original/DP113248.jpg,,1,1
108,2608,https://images.metmuseum.org/CRDImages/aa/original/DP114076.jpg,,1,1
109,2609,https://images.metmuseum.org/CRDImages/aa/original/DP114082.jpg,,1,1
110,2610,https://images.metmuseum.org/CRDImages/aa/original/DP114094.jpg,,1,1
111,2611,https://images.metmuseum.org/CRDImages/aa/original/DP113265.jpg,,1,1
112,2612,https://images.metmuseum.org/CRDImages/aa/original/DP124358.jpg,,1,1
113,2613,https://images.metmuseum.org/CRDImages/aa/original/DP124361.jpg,,1,1
114,2614,https://images.metmuseum.org/CRDImages/aa/original/DP124378.jpg,,1,1
115,2615,https://images.metmuseum.org/CRDImages/aa/original/DP119014.jpg,,1,1
116,2616,https://images.metmuseum.org/CRDImages/aa/original/DP124377.jpg,,1,1
117,2617,https://images.metmuseum.org/CRDImages/aa/original/37.131.12_001Sept2014.jpg,,1,1
118,2618,https://images.metmuseum.org/CRDImages/aa/original/268268.jpg,,1,1
119,2619,https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_1269-001-2.jpg,,1,1
120,2620,https://images.metmuseum.org/CRDImages/aa/original/LC-36_25_1273a_b-001-2.jpg,,1,1
121,2621,https://images.metmuseum.org/CRDImages/aa/original/36.25.1006a_d_001_Mar2017.jpg,,1,1
122,2622,https://images.metmuseum.org/CRDImages/aa/original/36.25.972ab_004july2014.jpg,,1,1
123,2623,https://images.metmuseum.org/CRDImages/aa/original/36.25.987a-h_001July2014.jpg,,1,1
124,2624,https://images.metmuseum.org/CRDImages/aa/original/36.25.989a-g_002july2014.jpg,,1,1
125,2625,https://images.metmuseum.org/CRDImages/aa/original/36.25.990a-e_003july2014.jpg,,1,1
126,2626,https://images.metmuseum.org/CRDImages/aa/original/36.25.991a-g_007july2014.jpg,,1,1
127,2627,https://images.metmuseum.org/CRDImages/aa/original/sfsb36.25.565.jpg,,1,1
128,2628,https://images.metmuseum.org/CRDImages/aa/original/36.25.568_001Mar2015_2.jpg,,1,1
129,2629,https://images.metmuseum.org/CRDImages/aa/original/36.25.474a_001Jun2015.jpg,,1,1
130,2630,https://images.metmuseum.org/CRDImages/aa/original/36.25.1_007mar2015.jpg,,1,1
131,2631,https://images.metmuseum.org/CRDImages/aa/original/36.25.32a_001Aug2015.jpg,,1,1
132,2632,https://images.metmuseum.org/CRDImages/aa/original/36.25.77_001_Apr2017.jpg,,1,1
133,2633,https://images.metmuseum.org/CRDImages/aa/original/DT304541.jpg,,1,1
134,2634,https://images.metmuseum.org/CRDImages/aa/original/LC-20_142-006.jpg,,1,1
