object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5923,,Tube in an ancient form with dragons in relief,1900-1950,28,Jade And Stones,Nephrite,Nephrite,"H. 2 in x Diam. 2 1/4 in, H. 5.1 cm x Diam. 5.7 cm",2,,https://searchcollection.asianart.org/objects/4991/tube-in-an-ancient-form-with-dragons-in-relief?ctx=3d4ce59a095cbf5d87383528d758b2fdc37bf7c4&idx=2850,https://searchcollection.asianart.org/internal/media/dispatcher/15123/preview,,The Avery Brundage Collection,B60J828,2026-06-03,1,,
5924,,Ribbed bracelet,206 BCE-220 CE,7,Jade And Stones,Nephrite,Nephrite,"Diam. 2 5/8 in, Diam. 6.7 cm",2,,https://searchcollection.asianart.org/objects/4992/ribbed-bracelet?ctx=3d4ce59a095cbf5d87383528d758b2fdc37bf7c4&idx=2851,https://searchcollection.asianart.org/internal/media/dispatcher/15119/preview,,The Avery Brundage Collection,B60J824,2026-06-03,1,,
5925,,Pendant of a bird carrying a branch of fruit,1900s,27,Jade And Stones,Nephrite,Nephrite,"H. 1 in x W. 1 3/4 in x D. 3/4 in, H. 2.5 cm x W. 4.4 cm x D. 1.9 cm",2,,https://searchcollection.asianart.org/objects/5012/pendant-of-a-bird-carrying-a-branch-of-fruit?ctx=c81fb269c990c9e4ad61a917cb654f3c0b5f5afc&idx=2857,https://searchcollection.asianart.org/internal/media/dispatcher/23463/preview,,The Avery Brundage Collection,B69J43,2026-06-03,1,,
5926,,Openwork disk with a design of dragons amid flowers,1850-1940,27,Jade And Stones,Nephrite,Nephrite,"H. 5/8 in x Diam. 2 1/4 in, H. 1.6 cm x Diam. 5.7 cm",2,,https://searchcollection.asianart.org/objects/5013/openwork-disk-with-a-design-of-dragons-amid-flowers?ctx=c81fb269c990c9e4ad61a917cb654f3c0b5f5afc&idx=2858,https://searchcollection.asianart.org/internal/media/dispatcher/23452/preview,,The Avery Brundage Collection,B69J40,2026-06-03,1,,
5927,,Staff finial in the shape of a dove,1900s; base: late 1700s,27,Jade And Stones,Nephrite,Nephrite,"H. 7 1/2 in x W. 3 3/8 in x D. 2 3/4 in, H. 19.1 cm x W. 8.6 cm x D. 7 cm",2,,https://searchcollection.asianart.org/objects/5025/staff-finial-in-the-shape-of-a-dove?ctx=c81fb269c990c9e4ad61a917cb654f3c0b5f5afc&idx=2859,https://searchcollection.asianart.org/internal/media/dispatcher/22405/preview,,The Avery Brundage Collection,B65J35,2026-06-03,1,,
5928,,A pair of horse's cheek bit of snaffle-type,900-770 BCE,3,Metal Arts,Bronze,Bronze,"H. 4 in x W. 8 in, H. 10.2 cm x W. 20.3 cm",2,,https://searchcollection.asianart.org/objects/5038/a-pair-of-horses-cheek-bit-of-snaffletype?ctx=961027d1e90346e3f7a520eeaa1d6bc04f3abdc4&idx=2870,https://searchcollection.asianart.org/internal/media/dispatcher/12137/preview,,The Avery Brundage Collection,B60B681,2026-06-03,1,,
5929,,Chariot fitting,800-600 BCE,18,Metal Arts,Silver,Silver,H. 2 1/4 in x W. 6 3/4 in,2,,https://searchcollection.asianart.org/objects/5042/chariot-fitting?ctx=961027d1e90346e3f7a520eeaa1d6bc04f3abdc4&idx=2872,https://searchcollection.asianart.org/internal/media/dispatcher/12177/preview,,The Avery Brundage Collection,B60B710,2026-06-03,1,,
5930,,Sword,500-400 BCE,4,Arms And Armament,Bronze,Bronze,"L. 21 3/4 in x W. 2 1/4 in x Diam. 1 3/4 in, L. 55.2 cm x W. 5.7 cm x Diam. 4.4 cm",2,,https://searchcollection.asianart.org/objects/5051/sword?ctx=e8a64fcdf4fc3bf33361f6fefb3cdf195eff41ce&idx=2880,https://searchcollection.asianart.org/internal/media/dispatcher/12255/preview,,The Avery Brundage Collection,B60B758,2026-06-03,1,,
5931,,Cylindrical fixture,1000-800 BCE,18,Metal Arts,Bronze,Bronze,"H. 8 1/4 in x Diam. 5 5/8 in, H. 21 cm x Diam. 14.2 cm",2,,https://searchcollection.asianart.org/objects/5062/cylindrical-fixture?ctx=e8a64fcdf4fc3bf33361f6fefb3cdf195eff41ce&idx=2888,https://searchcollection.asianart.org/internal/media/dispatcher/11418/preview,,The Avery Brundage Collection,B60B10,2026-06-03,1,,
5932,,Ritual bell (yongzhong),800-400 BCE,4,Metal Arts,Bronze,Bronze,H. 24 1/2 in x W. 13 in,2,,https://searchcollection.asianart.org/objects/5073/ritual-bell-yongzhong?ctx=a4aedaf0b59cc73fc640e5340741615f0c6a49ef&idx=2898,https://searchcollection.asianart.org/internal/media/dispatcher/11707/preview,,The Avery Brundage Collection,B60B180,2026-06-03,1,,
