object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5537,,Vase with peaches,1736-1795,27,Ceramics,Porcelain with overglaze multicolor decoration,"Qing dynasty (1644-1911), reign of the Qianlong emperor (1736-1795); Porcelain with overglaze multicolor decoration","H. 19 5/8 in x Diam. 14 1/2 in, H. 49.8 cm x Diam. 36.8 cm",2,"Jiangxi province, China; Jiangxi province",https://searchcollection.asianart.org/objects/4683/vase-with-peaches?ctx=0daadffc854885a36f182d01c611485583b27350&idx=786,https://searchcollection.asianart.org/internal/media/dispatcher/62021/preview,,The Avery Brundage Collection,B60P124+,2026-06-08,1,,
5538,,Jar with design of lions playing with a ball,1506-1521,26,Ceramics,Porcelain with underglaze blue and overglaze multicolor decoration,"Ming dynasty (1368-1644), Reign of the Zhengde emperor (1506-1521); Porcelain with underglaze blue and overglaze multicolor decoration","H. 11 3/8 in x Diam. 11 7/8 in, H. 28.9 cm x Diam. 30.2 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/4926/jar-with-design-of-lions-playing-with-a-ball?ctx=0daadffc854885a36f182d01c611485583b27350&idx=787,https://searchcollection.asianart.org/internal/media/dispatcher/16939/preview,,The Avery Brundage Collection,B60P507,2026-06-08,1,,
5539,,Vase with evergreen and dragon,1700-1800,27,Jade And Stones,Nephrite,Qing dynasty (1644-1911); Nephrite,"H. 10 1/4 in x W. 5 in x D. 2 5/8 in, H. 26 cm x W. 12.7 cm x D. 6.7 cm",2,China,https://searchcollection.asianart.org/objects/4953/vase-with-evergreen-and-dragon?ctx=0daadffc854885a36f182d01c611485583b27350&idx=790,https://searchcollection.asianart.org/internal/media/dispatcher/20574/preview,,The Avery Brundage Collection,B62J2,2026-06-08,1,,
5540,,Octagonal plate with the Eight Treasures and a longevity character,1522 - 1566,26,Decorative Arts,Carved red lacquer,"Ming dynasty (1368 - 1644), Reign of the Jiajing emperor (1522 - 1566); Carved red lacquer",Overall: H. 1 5/16 in × W. 6 3/8 in × D. 6 3/8 in (3.3 cm × 16.2 cm × 16.2 cm),2,China,https://searchcollection.asianart.org/objects/4975/octagonal-plate-with-the-eight-treasures-and-a-longevity-cha?ctx=0daadffc854885a36f182d01c611485583b27350&idx=791,https://searchcollection.asianart.org/internal/media/dispatcher/75423/preview,,Museum purchase,B83M10,2026-06-08,1,,
5541,,Vase suspended from three chains,1900-1949,28,Jade And Stones,Nephrite,Nephrite,"H. 14 1/2 in x W. 4 in x D.3/4 in, H. 36.8 cm x W. 10.2 cm x D. 1.9 cm",2,China,https://searchcollection.asianart.org/objects/5097/vase-suspended-from-three-chains?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=793,https://searchcollection.asianart.org/internal/media/dispatcher/20732/preview,,The Avery Brundage Collection,B62J67,2026-06-08,1,,
5542,,The Immortal Cao Guojiu holding a pair of beaters,1900-1940,28,Jade And Stones,Steatite (soapstone),Steatite (soapstone),"H. 8 7/8 in x W. 3 in x D. 2 in, H. 22.5 cm x W. 7.6 cm x D. 5.1 cm",2,China,https://searchcollection.asianart.org/objects/5098/the-immortal-cao-guojiu-holding-a-pair-of-beaters?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=794,https://searchcollection.asianart.org/internal/media/dispatcher/20701/preview,,The Avery Brundage Collection,B62J52,2026-06-08,1,,
5543,,Figure with tiger skin clothing,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5214/figure-with-tiger-skin-clothing?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=798,https://searchcollection.asianart.org/internal/media/dispatcher/76483/preview,,The Avery Brundage Collection,B62D48.1,2026-06-08,1,,
5544,,Male figure with black cap and carrying drum,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm without stilts",2,China,https://searchcollection.asianart.org/objects/5228/male-figure-with-black-cap-and-carrying-drum?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=799,https://searchcollection.asianart.org/internal/media/dispatcher/20448/preview,,The Avery Brundage Collection,B62D48.58,2026-06-08,1,,
5545,,Scholar,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,China,https://searchcollection.asianart.org/objects/5235/scholar?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=800,https://searchcollection.asianart.org/internal/media/dispatcher/20455/preview,,The Avery Brundage Collection,B62D48.65,2026-06-08,1,,
5546,,Scholar official,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5255/scholar-official?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=801,https://searchcollection.asianart.org/internal/media/dispatcher/20407/preview,,The Avery Brundage Collection,B62D48.17,2026-06-08,1,,
5547,,Young woman,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 1/2 in, H. 29.2 cm",2,China,https://searchcollection.asianart.org/objects/5256/young-woman?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=802,https://searchcollection.asianart.org/internal/media/dispatcher/20408/preview,,The Avery Brundage Collection,B62D48.18,2026-06-08,1,,
5548,,Hen,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 8 1/2 in, H. 21.6 cm",2,China,https://searchcollection.asianart.org/objects/5263/hen?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=803,https://searchcollection.asianart.org/internal/media/dispatcher/20415/preview,,The Avery Brundage Collection,B62D48.25,2026-06-08,1,,
5549,,"Thunder and rain gods, one of a pair",1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,H. 11 in x W. 15 in; H. 27.9 cm x W. 38.1 cm,2,China,https://searchcollection.asianart.org/objects/5311/thunder-and-rain-gods-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=804,https://searchcollection.asianart.org/internal/media/dispatcher/20486/preview,,The Avery Brundage Collection,B62D48.96,2026-06-08,1,,
5550,,"Thunder and rain gods, one of a pair",1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5312/thunder-and-rain-gods-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=805,https://searchcollection.asianart.org/internal/media/dispatcher/20487/preview,,The Avery Brundage Collection,B62D48.97,2026-06-08,1,,
5551,,Lotus pond (setting for a shadow play),1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5314/lotus-pond-setting-for-a-shadow-play?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=806,https://searchcollection.asianart.org/internal/media/dispatcher/20489/preview,,The Avery Brundage Collection,B62D48.99,2026-06-08,1,,
5552,,Heavenly musicians,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 14 in x W. 15 in, H. 35.6 cm x W. 38.1 cm",2,China,https://searchcollection.asianart.org/objects/5331/heavenly-musicians?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=807,https://searchcollection.asianart.org/internal/media/dispatcher/20506/preview,,The Avery Brundage Collection,B62D48.116,2026-06-08,1,,
5553,,Heavenly musicians,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 14 in x W. 15 in, H. 35.6 cm x W. 38.1 cm",2,China,https://searchcollection.asianart.org/objects/5332/heavenly-musicians?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=808,https://searchcollection.asianart.org/internal/media/dispatcher/20507/preview,,The Avery Brundage Collection,B62D48.117,2026-06-08,1,,
5554,,Warrior,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 12 in, H. 30.5 cm",2,China,https://searchcollection.asianart.org/objects/5340/warrior?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=809,https://searchcollection.asianart.org/internal/media/dispatcher/20515/preview,,The Avery Brundage Collection,B62D48.125,2026-06-08,1,,
5555,,Buffalo,1900-1935,28,Theatrical Arts,"Hide with pigments, bamboo","Hide with pigments, bamboo","H. 7 in, H. 17.8 cm",2,China,https://searchcollection.asianart.org/objects/5343/buffalo?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=810,https://searchcollection.asianart.org/internal/media/dispatcher/20518/preview,,The Avery Brundage Collection,B62D48.128,2026-06-08,1,,
5556,,Drummer,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,China,https://searchcollection.asianart.org/objects/5350/drummer?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=811,https://searchcollection.asianart.org/internal/media/dispatcher/20525/preview,,The Avery Brundage Collection,B62D48.135,2026-06-08,1,,
5557,,Civil official,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5363/civil-official?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=812,https://searchcollection.asianart.org/internal/media/dispatcher/20538/preview,,The Avery Brundage Collection,B62D48.148,2026-06-08,1,,
5558,,Female figure,1900-1935,28,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,China,https://searchcollection.asianart.org/objects/5372/female-figure?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=813,https://searchcollection.asianart.org/internal/media/dispatcher/20547/preview,,The Avery Brundage Collection,B62D48.157,2026-06-08,1,,
5559,,"Covered jar, one of a pair",1920-1940,28,Ceramics,Porcelain with overglaze polychrome decoration,Porcelain with overglaze polychrome decoration,"H. 28 3/8 in x Diam. 16 in, H. 73.3 cm x Diam. 40.6 cm",2,"Beijing, China; Beijing",https://searchcollection.asianart.org/objects/5638/covered-jar-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=814,https://searchcollection.asianart.org/internal/media/dispatcher/16430/preview,,The Avery Brundage Collection,B60P115+.a-.b,2026-06-08,1,,
5560,,Covered bowl with design of dragons,1723-1735,27,Ceramics,Porcelain with underglaze blue and overglaze multicolor,"Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735); Porcelain with underglaze blue and overglaze multicolor","H. 5 1/2 in x Diam. 8 in, H. 14 cm x Diam. 20.3 cm",2,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province",https://searchcollection.asianart.org/objects/5812/covered-bowl-with-design-of-dragons?ctx=af427db0748bb9a47e82a9d869f9122ac5d0d343&idx=819,https://searchcollection.asianart.org/internal/media/dispatcher/18716/preview,,The Avery Brundage Collection,B60P2109.a-.b,2026-06-08,1,,
